event_id,published_at,source,asset,event_type,direction_hypothesis,time_horizon,return_1h_pct,return_4h_pct,return_24h_pct,benchmark,abnormal_return_4h_pct,flow_direction,smart_money_direction,technical_direction,hypothesis_alignment,attribution_level,causality_status,confidence,title,url,conclusion
news-001-BTC,2026-07-28T10:25:06+00:00,TechFlow 深潮,BTC,rwa,positive,1d_to_4w,-0.037,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,链上美股成版本主线，ONDO 三周涨 30%，资金在炒作什么催化剂？,https://www.techflowpost.com/article/detail_32860.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-ETH,2026-07-28T10:25:06+00:00,TechFlow 深潮,ETH,rwa,positive,1d_to_4w,-0.1123,,,BTC,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,链上美股成版本主线，ONDO 三周涨 30%，资金在炒作什么催化剂？,https://www.techflowpost.com/article/detail_32860.html,ETH 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-BNB,2026-07-28T10:25:06+00:00,TechFlow 深潮,BNB,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,链上美股成版本主线，ONDO 三周涨 30%，资金在炒作什么催化剂？,https://www.techflowpost.com/article/detail_32860.html,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-SOL,2026-07-28T10:25:06+00:00,TechFlow 深潮,SOL,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,链上美股成版本主线，ONDO 三周涨 30%，资金在炒作什么催化剂？,https://www.techflowpost.com/article/detail_32860.html,SOL 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-HOOD,2026-07-28T10:25:06+00:00,TechFlow 深潮,HOOD,rwa,positive,1d_to_4w,0.0421,,,SPY,,unavailable,unavailable,negative,inconclusive,L1,temporal_association,0.4,链上美股成版本主线，ONDO 三周涨 30%，资金在炒作什么催化剂？,https://www.techflowpost.com/article/detail_32860.html,HOOD 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-002-BTC,2026-07-28T09:49:13+00:00,TechFlow 深潮,BTC,rwa,positive,1d_to_4w,0.1254,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,5 美元买下全球资产配置权：币安九年，让「金融」触手可及,https://www.techflowpost.com/article/detail_32859.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-002-ETH,2026-07-28T09:49:13+00:00,TechFlow 深潮,ETH,rwa,positive,1d_to_4w,0.1252,,,BTC,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,5 美元买下全球资产配置权：币安九年，让「金融」触手可及,https://www.techflowpost.com/article/detail_32859.html,ETH 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-002-BNB,2026-07-28T09:49:13+00:00,TechFlow 深潮,BNB,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,5 美元买下全球资产配置权：币安九年，让「金融」触手可及,https://www.techflowpost.com/article/detail_32859.html,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-002-SOL,2026-07-28T09:49:13+00:00,TechFlow 深潮,SOL,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,5 美元买下全球资产配置权：币安九年，让「金融」触手可及,https://www.techflowpost.com/article/detail_32859.html,SOL 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-002-COIN,2026-07-28T09:49:13+00:00,TechFlow 深潮,COIN,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,5 美元买下全球资产配置权：币安九年，让「金融」触手可及,https://www.techflowpost.com/article/detail_32859.html,COIN 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
