event_id,published_at,source,asset,event_type,direction_hypothesis,time_horizon,return_1h_pct,return_4h_pct,return_24h_pct,benchmark,abnormal_return_4h_pct,flow_direction,smart_money_direction,technical_direction,hypothesis_alignment,attribution_level,causality_status,confidence,title,url,conclusion
news-001-BTC,2026-07-29T11:45:25+00:00,TechFlow 深潮,BTC,rwa,positive,1d_to_4w,-0.0489,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒,https://www.techflowpost.com/article/detail_32894.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-ETH,2026-07-29T11:45:25+00:00,TechFlow 深潮,ETH,rwa,positive,1d_to_4w,-0.1086,,,BTC,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒,https://www.techflowpost.com/article/detail_32894.html,ETH 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-SOL,2026-07-29T11:45:25+00:00,TechFlow 深潮,SOL,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒,https://www.techflowpost.com/article/detail_32894.html,SOL 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-COIN,2026-07-29T11:45:25+00:00,TechFlow 深潮,COIN,rwa,positive,1d_to_4w,0.1954,,,SPY,,unavailable,unavailable,positive,aligned,L1,temporal_association,0.56,比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒,https://www.techflowpost.com/article/detail_32894.html,COIN 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-MSTR,2026-07-29T11:45:25+00:00,TechFlow 深潮,MSTR,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒,https://www.techflowpost.com/article/detail_32894.html,MSTR 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-TSLA,2026-07-29T11:45:25+00:00,TechFlow 深潮,TSLA,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒,https://www.techflowpost.com/article/detail_32894.html,TSLA 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-002-NVDA,2026-07-29T09:51:24+00:00,TechFlow 深潮,NVDA,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,消失的买入键,https://www.techflowpost.com/article/detail_32893.html,NVDA 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-003-BTC,2026-07-29T10:15:56+00:00,TechFlow 深潮,BTC,stablecoin,unclear,intraday_to_1w,0.0585,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,俄罗斯央行发布加密交易所及托管机构监管规则草案,https://www.techflowpost.com/newsletter/detail_129972.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-003-ETH,2026-07-29T10:15:56+00:00,TechFlow 深潮,ETH,stablecoin,unclear,intraday_to_1w,0.1621,,,BTC,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,俄罗斯央行发布加密交易所及托管机构监管规则草案,https://www.techflowpost.com/newsletter/detail_129972.html,ETH 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-004-BTC,2026-07-29T10:54:10+00:00,TechFlow 深潮,BTC,stablecoin,positive,intraday_to_1w,0.0585,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,"Bybit 上线定投挑战赛，特设 BTC, ETH和 XAUT 奖池",https://www.techflowpost.com/newsletter/detail_129987.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-004-ETH,2026-07-29T10:54:10+00:00,TechFlow 深潮,ETH,stablecoin,positive,intraday_to_1w,0.1621,,,BTC,,unavailable,unavailable,unavailable,aligned,L1,temporal_association,0.52,"Bybit 上线定投挑战赛，特设 BTC, ETH和 XAUT 奖池",https://www.techflowpost.com/newsletter/detail_129987.html,ETH 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-009-BNB,2026-07-29T09:49:05+00:00,TechFlow 深潮,BNB,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,数据：Bitget rToken 24h 交易量超 Ondo 股票代币,https://www.techflowpost.com/newsletter/detail_129969.html,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-010-TSLA,2026-07-29T09:11:50+00:00,TechFlow 深潮,TSLA,exchange,unclear,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,今夜聚焦：微软 & Meta 盘后齐放榜，Bybit 财报季限时任务进行中,https://www.techflowpost.com/newsletter/detail_129962.html,TSLA 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-011-BTC,2026-07-29T09:47:29+00:00,TechFlow 深潮,BTC,stablecoin,unclear,intraday_to_1w,-0.3527,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Strategy 称 MSTR 自采用比特币储备以来年化回报达 42%，持仓仍浮亏约 180 亿美元,https://www.techflowpost.com/newsletter/detail_129967.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-011-MSTR,2026-07-29T09:47:29+00:00,TechFlow 深潮,MSTR,stablecoin,unclear,intraday_to_1w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,Strategy 称 MSTR 自采用比特币储备以来年化回报达 42%，持仓仍浮亏约 180 亿美元,https://www.techflowpost.com/newsletter/detail_129967.html,MSTR 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-012-BTC,2026-07-28T18:47:26+00:00,Cointelegraph,BTC,market_news,unclear,intraday_to_3d,0.266,0.0772,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,AmericanFortress proposes quantum-safe crypto wallet protection without fund migration,https://cointelegraph.com/news/americanfortress-proposes-quantum-safe-crypto-wallet-protection-without-fund-migration?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 +0.08%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-012-ETH,2026-07-28T18:47:26+00:00,Cointelegraph,ETH,market_news,unclear,intraday_to_3d,0.5761,0.0356,,BTC,-0.288,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,AmericanFortress proposes quantum-safe crypto wallet protection without fund migration,https://cointelegraph.com/news/americanfortress-proposes-quantum-safe-crypto-wallet-protection-without-fund-migration?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,ETH 在事件后 4 小时收益 +0.04%，相对基准异常收益 -0.29%；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-012-SOL,2026-07-28T18:47:26+00:00,Cointelegraph,SOL,market_news,unclear,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,AmericanFortress proposes quantum-safe crypto wallet protection without fund migration,https://cointelegraph.com/news/americanfortress-proposes-quantum-safe-crypto-wallet-protection-without-fund-migration?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,SOL 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
